_ - id,_ - type,_ - orderedItems - _ - id,AAT-IDs,Artist_ID,Datierung,Titel,_ - orderedItems - _ - type
https://data.rijksmuseum.nl/search/collection?type=painting&material=oil%20paint,OrderedCollectionPage,https://id.rijksmuseum.nl/20023308,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435430,https://id.rijksmuseum.nl/210640,c. 1675 - c. 1699,Portrait of an unknown woman,HumanMadeObject
,,https://id.rijksmuseum.nl/200108119,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300379012 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435414,https://id.rijksmuseum.nl/2101514,,Afternoon in a Gelderland Meadow,HumanMadeObject
,,https://id.rijksmuseum.nl/200108118,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300404269 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435429,,,Clipping the Wings of Cupids,HumanMadeObject
,,https://id.rijksmuseum.nl/20026466,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300418049,https://id.rijksmuseum.nl/210640,,SK-A-1590,HumanMadeObject
,,https://id.rijksmuseum.nl/200108117,http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300404269 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435430,,,De verkoop van Cupido's,HumanMadeObject
,,https://id.rijksmuseum.nl/200108120,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435429,https://id.rijksmuseum.nl/2101515,,Market Day in an Italian Town,HumanMadeObject
,,https://id.rijksmuseum.nl/20026467,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300227479 | http://vocab.getty.edu/aat/300404283 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435452,,,"Matthias, Emperor of the Holy Roman Empire (1557-1619)",HumanMadeObject
,,https://id.rijksmuseum.nl/20026468,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300444174 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300417819 | http://vocab.getty.edu/aat/300027267,https://id.rijksmuseum.nl/2101516,,Still Life with Fish and a Lobster and Oysters on a Table nearby,HumanMadeObject
,,https://id.rijksmuseum.nl/20026469,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300417819 | http://vocab.getty.edu/aat/300027267 | http://vocab.getty.edu/aat/300444174,https://id.rijksmuseum.nl/2101516,,Still Life with Wild Fowl,HumanMadeObject
,,https://id.rijksmuseum.nl/20015874,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435452,https://id.rijksmuseum.nl/21044143,,Krijgsman met lans en schild,HumanMadeObject
,,https://id.rijksmuseum.nl/20026472,http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300048722 | http://vocab.getty.edu/aat/300417268 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404620 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435452,https://id.rijksmuseum.nl/2101520,,SK-A-1909,HumanMadeObject
,,https://id.rijksmuseum.nl/20026476,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300026687,https://id.rijksmuseum.nl/21039551,,SK-A-1726,HumanMadeObject
,,https://id.rijksmuseum.nl/20026474,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404620 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435429,https://id.rijksmuseum.nl/21044143,,Warrior with Drawn Sword,HumanMadeObject
,,https://id.rijksmuseum.nl/20026475,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300404620 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435452,https://id.rijksmuseum.nl/21044143,,Proculeius preventing Cleopatra from stabbing herself,HumanMadeObject
,,https://id.rijksmuseum.nl/20026478,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435452,https://id.rijksmuseum.nl/2101308,,SK-A-1799,HumanMadeObject
,,https://id.rijksmuseum.nl/200108123,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300048722 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417207 | http://vocab.getty.edu/aat/300312075 | http://vocab.getty.edu/aat/300417268 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404620 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300379226 | http://vocab.getty.edu/aat/300260522 | http://vocab.getty.edu/aat/300004188 | http://vocab.getty.edu/aat/300435449 | http://vocab.getty.edu/aat/300379391 | http://vocab.getty.edu/aat/300417819 | http://vocab.getty.edu/aat/300027267 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435452,https://id.rijksmuseum.nl/2101520,,SK-A-3,HumanMadeObject
,,https://id.rijksmuseum.nl/20026477,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435429,https://id.rijksmuseum.nl/2101308,,In Later Life,HumanMadeObject
,,https://id.rijksmuseum.nl/20026481,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435452,https://id.rijksmuseum.nl/2101308,,Still Life with Oriental Slippers,HumanMadeObject
,,https://id.rijksmuseum.nl/200108122,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417207 | http://vocab.getty.edu/aat/300312075 | http://vocab.getty.edu/aat/300048722 | http://vocab.getty.edu/aat/300417268 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404620 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300379226 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300004188 | http://vocab.getty.edu/aat/300379391 | http://vocab.getty.edu/aat/300260522 | http://vocab.getty.edu/aat/300435449 | http://vocab.getty.edu/aat/300444174 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435429,https://id.rijksmuseum.nl/2101520,,De aanbidding van de koningen,HumanMadeObject
,,https://id.rijksmuseum.nl/20026480,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300028702 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300026687,,,Well-guarded Infant,HumanMadeObject
,,https://id.rijksmuseum.nl/20026483,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435414,https://id.rijksmuseum.nl/2101308,,A young Woman,HumanMadeObject
,,https://id.rijksmuseum.nl/20026479,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300028702 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300444174 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300435429,,,Portrait of a Boy,HumanMadeObject
,,https://id.rijksmuseum.nl/20026486,http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300028702 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300435414 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435429,,,Mary Magdalene,HumanMadeObject
,,https://id.rijksmuseum.nl/20026482,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300028702 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300026687 | http://vocab.getty.edu/aat/300435452 | http://vocab.getty.edu/aat/300444174 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435414,,,Old Woman by the Fireplace,HumanMadeObject
,,https://id.rijksmuseum.nl/200108125,http://vocab.getty.edu/aat/300388256 | http://vocab.getty.edu/aat/300388277 | http://vocab.getty.edu/aat/300435416 | http://vocab.getty.edu/aat/300404287 | http://vocab.getty.edu/aat/300456575 | http://vocab.getty.edu/aat/300404450 | http://vocab.getty.edu/aat/300435417 | http://vocab.getty.edu/aat/300379475 | http://vocab.getty.edu/aat/300311954 | http://vocab.getty.edu/aat/300445022 | http://vocab.getty.edu/aat/300311705 | http://vocab.getty.edu/aat/300417200 | http://vocab.getty.edu/aat/300404670 | http://vocab.getty.edu/aat/300418049 | http://vocab.getty.edu/aat/300312355 | http://vocab.getty.edu/aat/300435443 | http://vocab.getty.edu/aat/300379098 | http://vocab.getty.edu/aat/300435430 | http://vocab.getty.edu/aat/300435429 | http://vocab.getty.edu/aat/300435452,,,SK-A-1,HumanMadeObject
